529.8			241.6		1.25		237.8		246.4
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
146 			511.8 	2 		500 		520
1103.6		609.6		1.5		603		615
137 			768.8 	1.5 		763.4 	775
83 			786.2 	0.75 		780 		794
78			 912.7 	1.15 		908 		920
96 			934.9 	1.25 		930.3 	940
290			1121		1.5		1115.5	1127
124.2 		1240.6	 1.15 	1235 		1247.12
88			1379.2	2		1373.8	1384.3
641.5			1462.3	2		1455		1467
49			1510		2.25		1504.5	1516
21 			1662 		2.25 		1654 		1670
53 			1730.6 	2.5 		1725.2 	1738.8
240			1766		2.25		1760		1771
35			1848.7	2.25		1843.25	1855.5
19 			2107.4 	0.5 		2096 		2115
24 			2122.5 	0.5 		2115 		2130 
64.8 			2208.6 	1 		2200 		2220
22 			2452 		0.4 		2443.6	 2461
120			 2619.8 	2.5 		2610 		 2625
