519.8			241.6		1.5		235		247
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
152 			511.2 	2 		490 		530
1103.6		609.6		1.5		603		615
136 			768.5 	1.7 		760 		780
70 			786.7 	1 		783 		791
80 			912.3 	0.5 		900	 	920
103.8			936 		0.60 		928.4 	943.2
290			1121		1.5		1115 		1131
109.2 		1241 		2 		1230	 	1248
95 			1377.7 	1.25 		1371 		1382
631.5 		1460.80 	1.25 		1452 		1468
49			 1509.5 	1.20 		1500 		1518
24 			1665 		2.5 		1645 		1675
53 			1729 		1.75 		1723 		1735
240.2 		1765 		1.25 		1755 		1770
43 			1848 		2 		1841 		1853
19 			2103 		0.5 		2095 		2112
24 			2117 		0.75 		2111 		2125
65 			2204 		1.10 		2196 		2213.5
22 			2446.6 	1.25 		2440 		2455
120 			2614.1 	1.75 		2607	      2620
