    346.61      208.22        5.01265013759.12     1584.34      259.67      884.70
     47.89      291.10        1.50       25.61        1.24        0.63      122.24
 -75704.54      349.87       14.78     6754.69        0.00        0.54  -193229.81
    218.84      517.94        1.50       21.87        0.21        0.15      558.58
   2255.83      617.90        1.23      750.68        0.15        0.07     5757.82
  -4346.56      763.58       30.28       93.44        0.00        0.68   -11094.25
    106.71      786.23       17.66      654.35        1.00       55.45      272.36
     11.42      911.72        0.42        6.48        0.31        0.20       29.16
    424.22      939.50       15.36     3708.80        0.00       48.56     1082.79
     37.65     1124.04        2.65       50.81        3.05        2.38       96.11
  -6355.82     1238.04       16.30    13575.76        0.00       11.75   -16222.73
   -263.93     1382.59       16.02      336.85        0.00       15.56     -673.67
     15.33     1462.15        3.28        0.15        0.00        3.11       39.12
     51.08     1510.72        4.07      190.66        0.00        6.60      130.38
   -986.97     1663.91       25.93      290.70        7.62        8.24    -2519.17
     13.36     1729.34        2.64       10.13        0.01        1.21       34.09
   -922.11     1766.54       16.32     2416.64        0.06       14.90    -2353.60
  -1082.34     1849.21       14.32     1464.97        0.02        7.01    -2762.60
    367.75     2100.78       32.38     1666.70        0.00       65.75      938.64
     67.63     2123.86        1.68       13.72        0.39        0.17      172.61
     14.50     2211.31      199.59     1869.36        0.06    10887.34       37.02
      1.98     2452.96        2.37       24.20       54.39       25.60        5.05
    750.00     2623.25        0.41      687.31        0.11        0.03     1914.32
