S.N.	Peak		  Error		Intensity		Element 
1   	241.9950	  0.0023		7.251%16		Pb-214
2   	295.2228	  0.0018		18.42%4		Pb-214
3   	351.9321	  0.0018		35.60%7		Pb-214
4   	510.77	  0.10  		22.60%20		Tl-208
5   	609.320	  0.005 		45.49%16		Bi-214
6   	768.360	  0.005 		4.894%11		Bi-214
7   	785.96	  0.08  		1.06%3		Pb-214
8   	915.75	  0.13  		0.0230%20		Bi-214
9   	934.056	  0.006 		3.107%10		Bi-214
10  	1120.294	  0.006 		14.92%3		Bi-214
11  	1238.122	  0.007 		5.834%15		Bi-214
12  	1377.699	  0.008  		3.988%11		Bi-214
13  	1460.820	  0.005 		10.66%17		K-40/Co-60
14  	1509.210	  0.010 		2.130%10		Bi-214
15  	1661.274	  0.016 		1.047%6		Bi-214
16  	1729.594	  0.011 		2.878%8		Bi-214
17  	1764.491	  0.010 		15.30%3		Bi-214
18  	1847.429	  0.013 		2.025%9		Bi-214
19  	2109.98	  0.08  		0.085%3		Bi-214
20  	2120.0	  0.10  		0.0070%20		Bi-214
21  	2204.059	  0.022 		4.924%18		Bi-214
22  	2447.70	  0.03  		1.548%7		Bi-214
23  	2614.511	  0.010 		99.754%4		Tl-208
