154			509.6		2		500		516
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
154 			509.6 	2 		500 		514.6
1103.6		609.6		1.5		603		615
140 			769.1 	2 		757 		772
76 			912 		2 		907 		916
78 			909.8 	1.5 		900 		920 
96			935		1.25		927		940
290			1121		1.5		1115.5	1127
114			1239		2		1232 		1242
86 			1376.3 	2 		1372.1 	1383
641.5			1462.3	2		1455		1467
49			1510		2.25		1504.5	1516
25			1662		2.34		1655		1668
62 			1728.2 	2.5 		1724 		1733
240			1766		2.25		1760		1771
35			1848.7	2.25		1843.25	1855.5
15 			2102.5 	3 		2097 		2108
24			2119.5	3		2113.5	2126.5
75 			2203 		2.0 		2194 		2210
23			2449.3	2.25		2439.8	2457
120 			2613 		2.5 		2606 		2623
